COST,NAME
0000000003.01565,BRKT FUELMOD     
0000000000.36356,BRKT TRNS CS     
0000000001.40001,HANDLE ASM-R/RL  
0000000002.72525,CAP ASM          
0000000003.03900,CAP ASM          
0000000003.12233,DOOR HANDLE      
0000000001.91788,DOOR HANDLE      
0000000002.01450,BEZEL-FRT S/D L  
0000000000.06437,GRILLE -ACTIVE   
0000000000.00000,6'GMCHDBOX       
0000000000.00000,8'CHEVYBOX       
0000000000.00000,8'GMC BOX        
0000000000.00000,8'CHVBSOLH       
0000000000.00000,8'CHVBSORH       
0000000000.00000,8'GMCBSOLH       
0000000000.00000,8'GMCBSORH       
0000000000.00000,8'GMCHDBOX       
0000000000.00000,DUALLY BOX       
0000000000.23650,COVER ASM-F/SEA  
0000000000.00000,8'GMCLH-HD       
0000000000.00000,8'GMCRH-HD       
0000000000.00000,6'GMCLH-HD       
0000000000.00000,6'GMCRH-HD       
0000000132.33492,TIRE AAUN        
0000000002.01450,COVER            
0000000001.20358,COVER            
0000000001.20358,DR HDL COVER     
0000000003.41594,BRACKET ASM-CHA  
0000000003.72000,SPEAKER ASM-RDO  
0000000000.32850,BAT TRY RNF B    
0000000000.82780,B/TRY REIN       
0000000003.88446,BASE ASM-RDO AN  
0000000000.36820,COVER ASM-F/SEA  
0000000000.36820,COVER-F/SEAT OT  
0000000000.95090,PIN PKG-TRLR HI  
0000000000.19455,BRACKET ASM-TRA  
0000000000.06437,GRILLE -ACTIVE   
0000000000.47002,S/D CHK LNK LH   
0000000000.47002,F DR CHK LK RH   
0000000003.93646,HOSE ASM-HTR OT  
0000000000.34082,COVER-BAT POS C  
0000000000.27430,LABEL-HYD BRK F  
0000000000.27430,LABEL            
0000000044.16345,SPRING ASM-FRT   
0000000000.34343,FT DR R/BFLE     
0000000000.34343,F/DR RR BFLE RH  
0000000000.23993,F/DR RR BFLE LH  
0000000000.23993,F/DR RR BFLE RH  
0000000460.24478,CONVERTER        
0000000043.94757,BATTERY ASM      
0000000109.10247,GENERATOR        
0000000107.60901,GENERATOR        
0000000125.01792,GENERATOR        
0000000021.84260,AAM7 HUB CAP     
0000000000.55000,CONNECTOR ASM-W  
0000000000.66550,BUMPER ASM-HOOD  
0000000000.44000,PLUG-RR LIC PLT  
0000000019.56000,B/SI IN UP RH    
