CODE,NAME
000104992,ALCOM ELECTRONICOS DE MEXICO
000132233,CITIC DICASTAL CO LTD
000139998,AIR INTERNATIONAL INC
000140640,RECEPTEC CORP
000150490,HUTCHINSON TRANSFERENCIA DE FLUIDOS
000152496,3M CO
000152629,BRANO AS
000159178,TOPSEAL SHANGHAI AUTOPARTS CO LTD
000160283,MANN + HUMMEL AUTOMOTIVE INC
000160887,MSSC CANADA
000161109,BOURNS DE MEXICO S DE RL DE CV
000161521,DALIAN ALPS ELECTRONICS CO LTD
000162784,AUTO KABEL DE MEXICO SA DE CV
000164582,DELPHI AUTOMOTIVE SYSTEMS LLC
000165209,DELPHI-P - BARTLETT
000165415,FAURECIA INTERIOR SYSTEMS
000166306,DIVERSIFIED MACHINE MONTAGUE INC
000166991,CONTI TEMIC MICROELECTRONIC GMBH
000167213,AIR INTERNATIONAL INC
000167627,GATES DE MEXICO SA DE CV
000167965,DURA DE MEXICO SA DE CV-PLANT 3
000167981,NEXTEER AUTOMOTIVE CORP-PLT 40
000169185,BOS AUTOMOTIVE PRODUCTS IRAPUATO SA
000169912,MAHLE FILTER SYSTEMS CANADA ULC
000169938,HENNIGES AUTOMOTIVE SEALING SYSTEMS
000172072,SHARP CORP
000172148,EDUMEX SA DE CV
000172494,NEXTEER AUTOMOTIVE CORP-PLT 36
000173872,CADIMEX SA DE CV
000174177,BOSCH, ROBERT CORP SA DE CV
000175109,FAURECIA INTERIOR SYSTEMS USA INC
000175844,LIOHO LIGHT METAL (KUNSHAN) CO LTD
000180059,OMRON AUTOMOTIVE ELECTRONICS, INC.
000181669,NINGBO LAWRENCE AUTOMOTIVE INTERIOR
000183442,EMHART TEKNOLOGIES LLC
000187492,CONTINENTAL TEMIC ELECTRONICS (PHIL
000187815,DENSO INTERNATIONAL AMERICA
000187856,BOSE CORP
000188060,LG ELECTRONICS (KUNSHAN) COMPUTER
000188979,PIONEER AUTOMOTIVE TECH INC
000189407,BWI NORTH AMERICA INC
000190694,VENTRAMEX SA DE C V
000192666,REMY HOLDINGS INC
000192690,DAEWON AMERICA INC
000192781,MFG COMPOSITE
000193508,TOYOTA TSUSHO CORP
000194993,INOPLAST COMPOSITES SA DE CV
000195958,SPEEDLINE SRL
000196717,PSS HONG KONG LTD
000196782,PLASAN CARBON COMPOSITES INC
000197855,HARMAN EMBEDDED AUDIO LLC
000217372,DELPHI-P - EL PASO
000218859,DELPHI-P - EL PASO
000234641,BOURNS DE MEXICO S DE RL DE CV
000234906,THYSSENKRUPP BILSTEIN SASA SA DE CV
000236372,SOFIMA AUTOMOTIVE FILTER (SHANGHAI)
000236455,OMRON AUTOMOTIVE ELECTRONICS INC
000236539,MAGNA CLOSURES INC
000236596,FLAMBEAU CORP
000236729,FAURECIA AUTOMOTIVE SEATING INC
000236984,NORTHERN STAMPING CO
000237339,BUEHLER MOTOR DE MEXICO S DE RL DE
000237552,KAYSER AUTOMOTIVE SYSTEMS S EN C
000238162,COSWORTH LLC
000239970,PAULSTRA CRC CORP
000240002,CARPLASTIC SA DE CV
000240150,DANA SEALING MANUFACTURING LLC
000240218,SUMEEKO INDUSTRIES CO LTD
000240648,INTEGRATED MANUFACTURING & ASSY LLC
000240689,INTEGRATED MANUFACTURING & ASSY LLC
000240770,INTERNATIONAL AUTOMOTIVE COMPONENTS
000240903,HELLA AUTOMOTIVE MEXICO SA DE CV
000241000,BWI NORTH AMERICA INC
000241018,LEAR OPERATIONS CORP
000241075,DELPHI AUTOMOTIVE SYSTEMS LLC
000241182,DONGYANG MECHATRONICS INC
000241729,SUNDRAM FASTENERS LTD
000241836,CITIC DICASTAL CO LTD
000242305,MAXION WHEELS DE MEXICO S DE RL
000242438,LEAR OPERATIONS CORP
000242891,ABC TECHNOLOGIES INC
000242990,VALEO SISTEMAS ELECTRICOS SA DE CV
000243147,GP STRATEGIES CORP
000243923,MANN + HUMMEL USA INC
000244087,RASSINI BRAKES LLC
000244095,BREMBO NORTH AMERICA INC
000244939,VALEO SISTEMAS ELECTRICOS SA DE CV
000245092,DIVERSIFIED MACHINE MONTAGUE INC
000245142,LIOHO LIGHT METAL (KUNSHAN) CO LTD
000245316,DELPHI DELCO ELECTRONICS DE MEXICO
000245738,ROBERT BOSCH LLC
000245910,PANASONIC AUTOMOTIVE SYSTEMS MALAYS
